"louvain";"two mode";"id";"text"
"8";"column";"1179";"5e15071000061b4033c01f6a_Weil-wir-uns-nicht-einfach-unterkriegen-lassen"
"0";"column";"118";"52757075000368f62a6e6892_Jenny-Danger--Harry-Potter"
"1";"column";"1180";"5e15c6a50009a8b511e0dc82_Silvestertradition"
"4";"column";"1181";"5e170b7800006ae5a1073c2_Eine-erfolgreiche-Geburtstagsfeier"
"0";"column";"1182";"5e171096000b896864129db_Doppelt-ist-zuviel-des-Guten"
"0";"column";"1184";"5e1785d700060ae52b4411a4_Glowing-Black"
"1";"column";"1185";"5e17a8d6000609c87462e62_Wahrheit"
"0";"column";"1187";"5e180d4e000b8f2c28be4ad9_Belogen-und-beraubt"
"0";"column";"1188";"5e1823b2000427869c8d97c_Get-your-skates-on"
"6";"column";"1189";"5e183637000b2f34381e7bb3_Liebe-Leid-und-Hoffnung-in-Hogwarts"
"0";"column";"1190";"5e184e730001f66a8106f49_Verirrter-Held"
"5";"column";"1191";"5e1867cc000b86981834c8bf_HP-Lovestories-N1"
"4";"column";"1193";"5e18c6b7000b64892f990c08_Voyeur"
"7";"column";"1194";"5e19a71a0005acc132d0e918_Heilen"
"1";"column";"1195";"5e19b7810004165ab6c5c77_Zeitungsbericht"
"5";"column";"1196";"5e19c35a000b8a286534ef1_Lumine-III--Feuerprobe"
"8";"column";"1197";"5e19e186000b65bf21f896cd_Der-Auserzaehlte"
"0";"column";"1198";"5e19f9d3000a440a135ede94_Zeit"
"0";"column";"1199";"5e1a0ada000b668b27be9bd9_Wette-fuer-die-Wahrheit"
"0";"row";"12";"Ginevra Molly ""Ginny"" Weasley"
"2";"column";"120";"52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"3";"column";"1200";"5e1a1a40000b2262355af12c_You-Gonna-Go-Far-Kid"
"1";"column";"1201";"5e1a290a00000b1f37d62536_You-are-the-wilderness"
"2";"column";"1202";"5e1a29c600000e232460c4af_Kneipennacht-in-Hogsmeade"
"6";"column";"1203";"5e1a4ff9000051cd8111dc2_Mutterlos"
"3";"column";"1204";"5e1ae98a00001bee33368e67_Das-Herz-einer-Gryffindor"
"1";"column";"1205";"5e1aff4e0004165a7dc2f4d_Einer-dieser-Tage"
"7";"column";"1206";"5e1b112c000b9205344a4fc8_Blut-und-Wasser"
"0";"column";"1207";"5e1b3e7f0004f5953720f3e7_Hogwarts-In-Love"
"0";"column";"1208";"5e1ba1d8000ac12d119eb722_Ein-besonderer-Kuss"
"1";"column";"1209";"5e1c992d000b53ac2940a4df_Von-Freundschaft-und-Krieg"
